1   (27, 1) (20, 1) 
10	(25, 1) (3, 2) (29, 1) 
four-wheel-drive	(28, 1) 
four-wheeled	(28, 1) 
fourteenth-largest	(12, 1) 
fourth	(26, 1) 
fragmentation	(20, 1) 
france	(2, 1) 
franchise	(28, 1) 
francis	(30, 1) 
french	(29, 1) (10, 1) 
friday	(4, 1) 
from	(4, 2) (30, 5) (12, 3) (16, 3) (11, 1) (7, 2) (28, 3) (25, 3) (6, 1) (17, 1) (20, 3) (1, 2) (14, 2) (21, 1) (29, 7) (3, 2) (8, 1) (23, 1) 
front	(17, 1) 
ft	(20, 1) 
fuchu016b	(1, 1) 
fuel	(3, 1) 
fuel-efficient	(3, 1) 
fuji	(19, 1) 
fukuoka	(25, 1) 
full	(26, 1) 
full-sized	(30, 1) 
fully	(16, 1) (28, 1) 
fully-electric	(2, 1) 
functional	(28, 1) 
fund	(29, 1) 
funded	(3, 1) 
fur	(20, 1) 
further	(29, 1) 
gac	(3, 1) (14, 1) 
gaisha	(14, 1) (2, 1) (5, 1) (1, 1) 
garden	(14, 1) 
gas	(30, 1) 
gave	(3, 1) 
ge	(14, 1) 
geely	(23, 1) 
general	(26, 2) (4, 1) (16, 10) (2, 1) (29, 2) 
generationnin	(28, 1) 
generations	(28, 1) 
generators	(14, 1) 
generic	(28, 1) 
genus	(20, 1) 
geographic	(20, 1) 
german	(12, 2) (11, 3) (17, 3) (18, 2) (10, 1) (29, 1) 
german-language	(17, 1) 
germany	(17, 1) (12, 2) (6, 1) (11, 1) (18, 1) (16, 1) 
ghibli	(27, 2) 
giken	(14, 1) 
global	(16, 2) (25, 1) (17, 1) (1, 1) (2, 1) 
globally	(2, 1) (28, 1) (1, 1) (27, 1) 
gm	(26, 2) (16, 10) (29, 1) 
gms	(16, 1) 
god	(1, 1) 
gothenburg	(23, 3) 
government	(29, 3) (30, 1) (6, 1) 
governments	(29, 1) 
gradually	(29, 1) 
grand	(7, 2) (10, 1) (28, 1) 
granturismo	(27, 1) 
grecale	(27, 1) 
grew	(8, 1) 
group	(8, 4) (3, 1) (17, 1) (29, 4) (4, 5) (2, 2) (6, 1) (23, 2) (30, 3) (22, 4) (11, 1) 
groupnhyundai	(22, 1) 
groupnsince	(2, 1) 
groups	(8, 1) (17, 1) 
groupsnnhyundai	(22, 1) 
grow	(3, 1) 
growing	(3, 2) (29, 1) 
grown	(16, 1) 
gt	(19, 1) (6, 1) 
guarantees	(29, 1) 
guru016bpu	(4, 1) 
guzzler	(30, 1) 
ha-420	(14, 1) 
habitat	(20, 3) 
had	(29, 1) (26, 3) (28, 1) 
half	(28, 1) 
hamamatsu	(5, 1) 
hamtramck	(30, 1) 
harald	(12, 1) 
harmony	(1, 1) 
has	(1, 2) (12, 1) (5, 2) (14, 3) (20, 2) (3, 2) (16, 1) (25, 4) (2, 1) (8, 1) (28, 5) (27, 2) (6, 1) (7, 1) (23, 1) 
have	(20, 1) (14, 1) (22, 1) (30, 1) (26, 1) (7, 2) (28, 2) (19, 1) 
having	(30, 1) (16, 1) 
hc	(18, 1) 
he	(29, 3) 
headquartered	(29, 1) (18, 1) (23, 1) (1, 1) (2, 1) (12, 2) (5, 1) (3, 1) (25, 1) (14, 1) (28, 1) (8, 1) (11, 1) (17, 1) (6, 1) (21, 1) 
headquarters	(27, 1) 
health	(29, 1) 
heavy	(19, 1) (22, 4) (4, 1) 
heavy-duty	(23, 1) 
hence	(19, 1) 
henry	(15, 1) (16, 1) 
hepburn	(2, 1) (3, 1) (5, 1) 
herbert	(12, 1) 
hierarchy	(29, 1) 
high-performance	(18, 1) (10, 1) 
highly	(7, 1) 
hills	(29, 1) (30, 1) 
himself	(16, 1) 
hino	(3, 1) 
hiroshima	(1, 1) 
hirst	(17, 1) 
his	(16, 1) (10, 1) (26, 1) 
historic	(6, 1) 
historically	(4, 1) (7, 1) (30, 1) (26, 1) 
history	(7, 2) (12, 1) (1, 1) 
hold	(28, 1) 
holden	(16, 2) 
holding	(23, 1) (18, 1) 
holds	(3, 1) (2, 3) (21, 1) 
home	(25, 1) 
honda	(25, 1) (14, 13) 
hondajet	(14, 1) 
hondanin	(14, 1) 
horace	(30, 2) 
horch	(11, 4) 
hours	(6, 1) (7, 1) (1, 1) 
however	(16, 1) 
hsv	(16, 1) 
humanu2013wildlife	(20, 1) 
humvee	(28, 1) 
huracu00e1n	(8, 1) 
hybrid	(8, 1) (3, 2) (25, 3) 
hydrogen	(3, 1) 
hynix	(22, 2) 
hyundai	(22, 1) (21, 3) (2, 1) 
i	(28, 1) 
iacocca	(29, 1) 
iceland	(28, 1) 
iconic	(17, 1) 
identity	(28, 1) 
if	(28, 1) 
ii	(28, 4) (17, 1) (4, 1) (3, 1) 
impacted	(29, 1) 
import	(29, 1) 
important	(20, 1) 
importing	(14, 1) 
in	(14, 10) (3, 20) (17, 4) (6, 8) (26, 8) (8, 12) (16, 18) (19, 7) (28, 11) (22, 2) (18, 2) (11, 7) (1, 10) (27, 5) (5, 6) (20, 10) (4, 5) (23, 8) (12, 8) (2, 11) (25, 21) (29, 31) (30, 12) (10, 6) (21, 3) (7, 16) 
in-house	(2, 1) 
inaugurated	(25, 1) 
inc	(24, 1) 
include	(10, 1) 
included	(28, 1) (30, 1) 
includes	(18, 1) (7, 1) (29, 1) 
including	(30, 1) (8, 1) (26, 1) (6, 3) (16, 1) (20, 1) (2, 1) (28, 1) 
incntesla	(24, 1) 
incorporated	(3, 1) 
incorporating	(26, 1) 
increase	(27, 1) 
increased	(8, 1) (29, 1) (25, 1) 
independent	(4, 1) 
india	(3, 1) (12, 1) 
indianhyundai	(22, 1) 
indices	(3, 1) (23, 1) 
indigenous	(20, 1) 
individuals	(20, 1) 
indonesian	(8, 1) 
industrial	(10, 1) (23, 1) (22, 2) 
industries	(22, 3) (19, 1) (4, 1) (3, 2) 
industriesnfounded	(4, 1) 
industry	(14, 1) (22, 1) (3, 1) (29, 1) (23, 1) (21, 1) 
industryncadillac	(26, 1) 
infiniti	(25, 1) (2, 1) 
ing	(18, 1) 
ingenuity	(28, 1) 
ingolstadt	(11, 1) 
inhabited	(20, 1) 
inhabits	(20, 1) 
initial	(11, 1) 
initially	(27, 1) (23, 1) 
innovative	(1, 1) 
inspired	(28, 2) 
inspires	(19, 1) 
institute	(14, 1) 
insurance	(22, 2) (29, 1) 
intelligence	(1, 1) 
intelligence/robotics	(14, 1) 
intended	(16, 1) 
interchangeability	(26, 2) 
internal	(5, 1) (14, 2) 
international	(3, 1) 
internationalchevrolet-branded	(16, 1) 
internationally	(25, 1) 
into	(29, 2) (28, 3) (6, 2) (17, 1) (30, 2) (23, 1) (14, 2) (3, 2) (22, 1) 
intrepidnthe	(30, 1) 
introduced	(25, 1) (19, 2) (8, 1) 
introducing	(26, 1) 
introduction	(11, 1) (3, 1) 
inventorntesla	(24, 1) 
invested	(14, 1) 
investment	(22, 1) (8, 1) 
investments	(12, 1) 
investors	(29, 1) 
invisible	(19, 1) 
involved	(14, 1) (23, 1) 
involvement	(1, 1) 
ipa	(3, 1) (21, 1) (14, 1) 
is	(14, 2) (3, 5) (19, 4) (30, 1) (6, 1) (8, 3) (20, 7) (28, 8) (1, 3) (29, 3) (26, 3) (25, 5) (12, 3) (17, 4) (4, 1) (21, 4) (16, 2) (27, 2) (18, 3) (7, 2) (23, 3) (22, 1) (5, 4) (11, 5) (2, 2) 
isle	(12, 1) 
isuzu	(3, 1) (1, 1) 
it	(1, 4) (3, 2) (8, 2) (14, 1) (6, 1) (30, 2) (12, 1) (17, 1) (20, 7) (28, 2) (25, 1) (29, 6) (26, 4) (10, 2) (21, 1) (5, 1) (23, 2) (7, 2) 
italian	(7, 2) (8, 3) (27, 2) (10, 1) 
italian-born	(10, 1) 
italy	(7, 1) (27, 1) (8, 1) 
its	(8, 2) (10, 1) (29, 3) (1, 2) (2, 1) (14, 1) (19, 1) (3, 4) (25, 5) (6, 3) (30, 7) (28, 2) (17, 2) (20, 3) (27, 1) (23, 2) (26, 4) (16, 3) (7, 8) (21, 1) 
itself	(29, 1) (6, 1) (26, 1) 
iucn	(20, 1) 
ivan	(17, 1) 
iwasaki	(4, 1) 
jaguar	(20, 5) 
jaguars	(20, 4) 
january	(29, 1) (1, 1) (30, 3) 
japan	(1, 3) (4, 2) (2, 2) (3, 2) (25, 3) (5, 1) 
japanese	(5, 2) (3, 3) (1, 1) (14, 4) (2, 3) (19, 3) (4, 1) (25, 5) 
japannhonda	(14, 1) 
japans	(25, 1) (3, 1) 
jcus	(20, 2) 
jean	(10, 1) 
jeep	(29, 2) (28, 19) 
jeep-branded	(28, 1) 
jeeps	(28, 2) 
jeppi	(28, 1) 
jidu014dsha	(3, 1) (2, 1) 
john	(30, 2) 
joined	(25, 1) 
joining	(2, 1) (6, 1) 
joint-ventures	(3, 1) (14, 1) 
jujiro	(1, 1) 
june	(29, 1) 
just	(21, 1) (2, 1) 
k	(30, 2) 
kabushiki	(2, 1) (14, 1) (5, 1) (1, 1) 
kabushikigaisha	(3, 1) 
kanagawa	(2, 1) 
keystone	(20, 1) 
kg	(20, 1) 
kia	(21, 5) 
kiichiro	(3, 1) 
kiichiros	(3, 1) 
killing	(20, 1) 
killings	(20, 1) 
kingdom	(12, 1) (16, 1) 
kingdoms	(26, 1) 
kirloskar	(3, 1) 
known	(3, 1) (1, 2) (6, 1) (21, 2) (2, 1) (28, 1) (19, 2) (10, 1) (16, 1) (17, 1) (7, 1) 
kodo	(1, 1) 
kogyo	(1, 2) 
korea	(21, 1) (16, 3) 
korean	(21, 2) (22, 2) 
koreas	(21, 1) 
kry-slu0259r	(29, 1) 
ku014dgyu014d	(14, 1) 
kyu016bshu016b	(25, 2) 
kyungsung	(21, 1) 
la	(26, 1) 
labelled	(7, 1) 
labour	(17, 1) 
lamborghini	(8, 8) 
lamborghinis	(8, 1) 
lamboru02c8u0261iu02d0ni]	(8, 1) 
land	(20, 1) (28, 1) 
language	(1, 1) 
laps	(7, 1) 
large	(7, 1) (20, 2) 
largely	(20, 1) (25, 1) 
larger	(30, 1) 
largest	(30, 1) (25, 2) (20, 1) (3, 4) (17, 1) (7, 1) (19, 1) (6, 1) (14, 3) (5, 3) (2, 4) (1, 1) (12, 1) (4, 1) (23, 1) (21, 1) 
largest-selling	(25, 1) 
last	(16, 1) (10, 1) 
late	(29, 1) (20, 1) (8, 1) (16, 1) 
later	(30, 1) (7, 1) (25, 1) 
latin	(25, 1) (11, 2) 
launch	(25, 2) 
launched	(25, 1) (28, 1) 
launches	(27, 1) 
launching	(16, 1) 
lay	(26, 1) 
layout	(19, 2) (8, 1) 
lb	(20, 1) 
le	(6, 1) (1, 1) (7, 1) 
lead	(10, 1) 
leader	(3, 2) (16, 1) 
leading	(3, 1) (2, 1) 
leaf	(2, 1) 
lean	(3, 1) 
learn	(3, 1) 
least	(20, 1) (28, 1) 
lee	(29, 1) 
legacy	(19, 2) 
legally	(23, 1) 
length	(20, 1) 
levante	(27, 1) 
lexus	(3, 1) (25, 11) 
lfa	(25, 1) 
licensing	(7, 1) 
light	(28, 3) 
lighting	(26, 1) (22, 1) 
like	(7, 1) (30, 1) (3, 1) 
limited	(6, 2) (4, 1) 
line	(7, 1) (6, 1) 
lines	(8, 1) 
lineup	(25, 1) (18, 1) (2, 1) 
list	(20, 1) 
listed	(20, 1) (23, 1) (3, 1) 
listen	(11, 1) 
litre	(6, 1) 
litu2009honda	(14, 1) 
liver	(30, 1) 
living	(20, 1) 
llc	(30, 1) (29, 6) 
loan	(29, 1) 
located	(30, 1) (20, 1) (25, 1) 
logo	(11, 1) (23, 1) (19, 2) 
logos	(6, 1) 
london	(6, 1) (3, 1) 
lone	(19, 1) 
long	(1, 1) 
long-term	(12, 1) 
loss	(20, 1) 
lotus	(9, 2) 
louis	(16, 1) 
lower	(17, 1) 
lowercase	(28, 1) 
loyalty	(7, 1) 
ls	(25, 1) 
ls1	(16, 1) 
ltd	(2, 1) (14, 1) (1, 2) 
lungs	(30, 1) 
luxury	(25, 2) (7, 1) (8, 1) (27, 1) (28, 1) (12, 1) (26, 4) (6, 1) (11, 2) (14, 1) 
m	(20, 1) 
m45	(19, 1) 
macan	(18, 1) 
machine	(30, 1) (3, 1) 
made	(10, 1) (1, 1) 
magnate	(8, 1) 
magnetic	(24, 1) 
main	(30, 1) (4, 1) 
mainstay	(30, 1) 
mainstream	(16, 2) 
major	(26, 1) 
make	(25, 1) 
maker	(3, 1) (2, 1) 
makers	(26, 1) 
making	(30, 1) (28, 1) (29, 1) 
malaysian	(8, 1) 
mammalian	(20, 1) 
man	(12, 1) 
management	(3, 1) (29, 1) (30, 1) 
mans	(1, 1) (7, 1) (6, 1) 
manual	(26, 1) 
manufactured	(6, 2) 
manufacturer	(6, 1) (26, 1) (1, 1) (22, 3) (5, 1) (21, 2) (18, 1) (17, 2) (12, 2) (2, 3) (7, 1) (8, 2) (27, 1) (14, 6) (16, 1) (15, 1) (10, 1) (11, 1) (23, 2) (3, 2) 
manufacturernhyundai	(22, 2) 
manufacturers	(3, 1) (7, 1) (11, 1) (29, 2) 
manufactures	(5, 1) (14, 1) 
manufacturing	(25, 2) (4, 1) (23, 2) (19, 1) (8, 1) (3, 2) 
many	(3, 1) (25, 1) (30, 1) (28, 1) (7, 2) (10, 1) 
maranello	(7, 1) 
marine	(22, 1) (14, 1) (5, 1) (23, 1) 
marked	(20, 1) 
market	(25, 4) (6, 1) (29, 1) (7, 1) (17, 1) (23, 1) (8, 1) (28, 1) 
marketed	(25, 2) (12, 2) (6, 1) (16, 1) 
marketer	(6, 1) 
marketing	(19, 1) 
markets	(19, 2) (26, 2) (25, 1) (29, 1) (16, 1) 
marque	(25, 3) (28, 2) (10, 1) (30, 1) 
marques	(16, 1) (26, 1) 
maserati	(29, 1) (27, 9) 
mass	(26, 1) 
mass-production	(28, 1) 
matsuda	(1, 2) 
maxim	(16, 1) 
maxwell	(29, 1) 
may	(29, 2) (13, 1) (7, 1) (9, 1) (24, 1) (16, 1) (27, 1) (15, 1) 
maya	(20, 1) 
mazda	(1, 8) (3, 1) 
meaning	(11, 1) 
meant	(10, 1) 
measured	(14, 1) 
medium-duty	(16, 1) 
meetings	(4, 1) 
melanistic	(20, 1) 
member	(20, 1) 
mercedes	(13, 1) (26, 1) 
mercedes-benz	(11, 1) 
merged	(11, 1) (29, 1) (30, 1) (19, 1) 
merger	(30, 3) (29, 3) (16, 1) 
mergers	(6, 1) 
merging	(29, 1) 
method	(20, 1) 
meunier	(28, 1) 
mexico	(20, 2) (12, 1) (2, 1) 
michigan	(29, 1) (30, 2) (26, 1) 
mid-engine	(8, 1) 
mid-priced	(30, 1) 
mid-size	(19, 1) 
middle-class	(3, 1) 
midsize	(30, 2) 
miglia	(7, 1) 
military	(28, 3) 
mille	(7, 1) 
million	(28, 1) (3, 3) (29, 1) (1, 2) (21, 1) (14, 2) 
millionth	(3, 1) 
minato	(14, 1) 
mini	(12, 1) 
minority	(21, 2) 
mipo	(22, 1) 
mirai	(3, 1) 
mitsubishi	(2, 3) (4, 8) (29, 2) 
miyata	(25, 1) 
mobility	(5, 1) 
mobis	(22, 1) 
model	(30, 1) (2, 1) (28, 1) (7, 1) (25, 1) (6, 1) (8, 3) (16, 1) (10, 1) 
models	(28, 3) (3, 1) (25, 2) (14, 1) (27, 2) (6, 2) (26, 1) 
modena	(27, 1) 
modern	(20, 1) (11, 1) (26, 1) 
moist	(20, 1) 
molsheim	(10, 1) 
month	(27, 1) 
monthly	(4, 1) 
mopar	(29, 1) 
more	(10, 1) (21, 2) (28, 1) (2, 1) (25, 1) (7, 1) (3, 4) (6, 1) (14, 1) 
most	(4, 1) (6, 1) (19, 2) (16, 1) (24, 1) (7, 2) 
mothe	(26, 1) 
motor	(26, 1) (5, 1) (29, 1) (15, 1) (14, 1) (1, 1) (22, 3) (21, 1) (25, 1) (2, 2) (16, 3) (3, 3) (12, 2) (23, 1) 
motor-sport	(12, 1) 
motorcycle	(5, 1) (14, 2) 
motorcycles	(14, 1) (5, 1) (12, 2) 
motoren	(12, 1) 
motorenwerke	(11, 1) 
motorrad	(12, 1) 
motors	(28, 1) (26, 2) (29, 5) (21, 1) (6, 3) (24, 1) (16, 10) (2, 2) 
motorsin	(2, 1) 
motorsport	(22, 1) (1, 1) 
move	(16, 2) 
moved	(16, 1) 
mtmusntoyota	(3, 1) 
much	(30, 1) (20, 1) 
mufg	(4, 1) 
mulsanneu2014which	(6, 1) 
multi-national	(28, 1) 
multinational	(12, 1) (5, 1) (2, 1) (14, 1) (3, 1) (4, 1) (21, 1) (23, 1) (29, 1) (1, 1) 
multiple	(30, 1) 
munich	(12, 2) 
museum	(23, 1) 
mycom	(8, 2) 
mythology	(20, 1) 
nagoya	(3, 1) (25, 1) 
name	(25, 1) (28, 1) (10, 1) (6, 2) (7, 1) (1, 2) (16, 2) (11, 1) (17, 1) (19, 1) 
named	(26, 1) 
nameplates	(29, 1) 
namesake	(3, 1) 
nasdaq	(23, 1) 
nationalised	(6, 1) 
nationsnthe	(28, 1) 
native	(16, 1) (20, 1) 
nazi	(17, 1) 
near	(20, 1) 
nearly	(8, 1) (1, 1) 
negotiations	(29, 1) 
net	(14, 1) 
netherlands	(12, 1) 
new	(29, 1) (25, 1) (3, 1) (28, 1) 
newly	(29, 2) 
next	(29, 1) 
nikkei	(3, 1) 
nine	(11, 1) 
ninth-largest	(3, 1) 
nismo	(2, 1) 
nissan	(2, 16) (1, 1) (25, 1) 
nnhyundai	(22, 1) 
no	(10, 2) (2, 1) 
north	(2, 1) (30, 1) (6, 1) (28, 1) (29, 4) (16, 1) 
northern	(20, 1) 
not	(6, 1) (22, 1) (25, 1) (4, 1) 
noted	(7, 1) (28, 1) (8, 1) 
november	(6, 1) (2, 1) (16, 1) 
now	(27, 1) (3, 2) (2, 1) (28, 2) 
nsu	(11, 1) 
number	(6, 1) 
o	(6, 1) 
obligations	(29, 1) 
occupation	(4, 1) 
occurred	(30, 1) 
occurring	(16, 1) 
oceania	(16, 2) 
october	(2, 1) 
of	(2, 9) (30, 10) (11, 10) (27, 2) (12, 5) (20, 10) (22, 6) (23, 4) (4, 5) (8, 5) (19, 5) (29, 11) (18, 1) (5, 2) (16, 14) (28, 16) (14, 7) (21, 3) (26, 10) (3, 16) (17, 2) (6, 7) (25, 7) (1, 6) (24, 1) (7, 7) (10, 4) 
off	(22, 1) (7, 1) (28, 1) 
off-road	(28, 1) 
offers	(27, 1) (19, 1) (7, 1) 
officer	(17, 1) 
offshore	(8, 1) 
ohio	(28, 1) 
oil	(8, 1) (30, 1) 
oilbank	(22, 1) 
oldest	(28, 1) (7, 1) 
oldsmobile	(26, 1) 
on	(26, 1) (11, 1) (20, 2) (29, 4) (23, 2) (15, 1) (27, 1) (28, 1) (30, 1) (16, 2) (3, 4) (1, 1) 
onca	(20, 1) 
once	(20, 1) 
one	(1, 2) (26, 1) (10, 1) (23, 1) (11, 1) (29, 1) (3, 3) (28, 1) (27, 1) (7, 4) (16, 2) (19, 1) (30, 1) 
only	(20, 1) (26, 1) (19, 1) (14, 1) 
onward	(16, 1) 
opel	(16, 1) 
open	(20, 1) (28, 1) 
operated	(29, 1) 
operating	(25, 1) 
operational	(25, 1) 
opportunistic	(20, 1) 
or	(16, 3) (9, 1) (28, 2) (19, 3) 
origin	(25, 1) 
original	(29, 1) (28, 1) 
originally	(30, 1) (3, 1) 
originated	(25, 1) 
origins	(11, 1) 
other	(11, 1) (25, 1) (28, 3) (1, 2) (23, 1) (3, 1) (29, 2) (5, 1) (14, 1) (7, 1) 
ousted	(16, 1) 
ousting	(16, 1) 
outback	(19, 1) 
outboard	(5, 1) 
output	(27, 1) 
outside	(25, 2) 
outsold	(26, 1) 
over	(27, 1) (28, 1) (5, 1) (29, 1) (21, 2) (16, 1) 
overall	(7, 1) 
overtaking	(16, 1) 
ow-dee	(11, 1) 
owing	(7, 1) 
own	(25, 2) 
owned	(16, 1) (27, 1) (8, 1) (12, 1) (18, 2) (21, 1) (23, 1) (28, 1) 
owner	(28, 1) (21, 1) 
owners	(29, 1) 
ownership	(8, 1) (30, 1) 
pairs	(19, 1) 
pale	(20, 1) 
panamera	(18, 1) 
panasonic	(3, 1) 
panthera	(20, 2) 
paraguay	(20, 1) 
parent	(21, 1) 
part	(2, 1) (22, 2) (23, 1) (3, 1) (28, 1) 
partially	(16, 1) 
participate	(4, 1) 
participating	(29, 1) 
participation	(7, 1) 
particular	(25, 1) 
particularly	(20, 1) 
parties	(29, 1) 
partnership	(29, 1) (2, 1) (19, 1) 
partnerships	(1, 1) 
parts	(29, 1) (26, 2) (10, 1) (20, 1) (30, 1) (22, 2) 
party	(17, 1) 
passenger	(19, 1) (30, 1) (3, 1) 
passion	(7, 1) 
pay	(29, 1) 
pension	(29, 1) 
peoples	(17, 1) (20, 1) 
per	(3, 2) (8, 1) 
percent	(17, 1) 
performance	(29, 1) (2, 1) (25, 1) (30, 1) 
perhaps	(30, 1) 
period	(28, 1) 
personal	(14, 1) 
personification	(28, 1) 
petrochemicals	(22, 1) 
petroleum	(22, 1) 
peugeot	(29, 2) 
philosophy	(3, 1) 
pick	(16, 1) 
pick-ups	(28, 1) 
pickup	(28, 1) (16, 1) 
pierce	(20, 1) 
pieve	(8, 1) 
placed	(8, 1) (27, 1) 
plano	(25, 1) 
plans	(27, 1) 
plantnthe	(6, 1) 
plants	(25, 1) 
plasticsnhyundai	(22, 1) 
platform	(30, 2) (1, 1) 
plays	(20, 1) 
plc	(6, 1) 
pleiades	(19, 1) 
pleistocene	(20, 1) 
plunged	(8, 1) 
plymouth	(29, 2) 
plymouthnfounded	(30, 1) 
poaching	(20, 1) 
podiums	(7, 1) 
points	(7, 1) 
pole	(7, 1) 
population	(20, 1) 
populationsnthe	(20, 1) 
porsche	(18, 3) 
porscheat	(28, 1) 
porsches	(18, 1) 
portfolio	(8, 1) 
positions	(7, 1) 
postwar	(29, 1) (28, 1) 
power	(14, 2) 
powerboat	(8, 1) 
powered	(8, 1) 
powerful	(20, 1) 
practice	(3, 1) 
praised	(3, 1) 
precision	(21, 1) (26, 1) 
precursor	(28, 1) 
predating	(30, 1) 
predator	(20, 1) 
predecessor	(11, 1) 
prefecture	(2, 1) 
preferred	(20, 1) 
premier	(26, 1) 
premium	(25, 3) (6, 1) 
present-day	(11, 1) 
presidency	(16, 1) 
president	(28, 1) 
previous	(28, 1) 
previously	(28, 1) 
prey	(20, 2) 
primarily	(16, 1) 
primary	(22, 1) (28, 1) 
principal	(29, 1) 
priority	(20, 1) 
prius	(3, 1) 
prix	(7, 1) (10, 1) 
probably	(20, 1) 
proceedings	(29, 1) 
produce	(3, 1) (7, 1) (8, 1) 
produced	(12, 2) (1, 1) (25, 2) 
producer	(12, 1) 
produces	(12, 1) (8, 2) (16, 1) (11, 1) (3, 1) 
producing	(3, 1) (14, 1) (1, 1) 
product	(3, 1) (30, 1) (28, 1) (27, 1) 
production	(27, 2) (1, 1) (8, 1) (26, 2) (3, 3) (28, 4) (5, 2) (19, 1) (14, 2) (11, 1) (23, 1) 
productivity	(8, 1) (29, 1) 
products	(8, 1) (2, 1) (16, 1) (14, 1) 
professional	(22, 1) 
profitability	(29, 2) 
profitable	(29, 1) 
profits	(17, 1) 
progenitor	(16, 1) 
program	(29, 1) 
progress	(11, 1) 
project	(25, 1) 
prominence	(16, 1) 
prominently	(20, 1) 
prompting	(30, 1) 
pronunciation	(12, 1) (8, 1) (17, 1) (18, 1) (19, 1) 
propelled	(16, 1) 
proved	(10, 1) (29, 1) 
prudential	(29, 1) 
psa	(29, 2) (30, 1) 
public	(12, 1) (14, 1) (7, 1) 
purchase	(6, 1) 
purchased	(26, 1) (10, 1) 
purpose	(16, 1) 
purse	(16, 1) 
quandt	(12, 2) 
quattroporte	(27, 2) 
r	(6, 2) 
race	(10, 1) (7, 1) 
raced	(7, 1) 
races	(7, 1) 
racing	(7, 2) (22, 1) 
racingnlamborghini	(8, 1) 
railway	(22, 1) 
rainforest	(20, 1) 
ram	(29, 1) (30, 2) 
ranchers	(20, 1) 
range	(20, 1) (7, 1) (16, 1) (28, 2) 
ranging	(20, 1) (21, 1) 
ranked	(1, 1) (25, 1) 
rapidly	(8, 1) (3, 1) 
reached	(3, 1) 
reaching	(14, 1) 
read	(30, 1) 
real	(22, 1) 
rear	(8, 1) 
rear-wheel	(8, 1) 
rear-wheel-drive	(19, 1) 
receivership	(6, 2) 
recent	(6, 1) 
recently	(3, 1) 
recognition	(16, 1) 
record	(27, 1) (3, 1) (26, 1) 
recruits	(28, 1) 
red	(20, 1) 
refer	(15, 1) (13, 1) (24, 1) (9, 1) 
referred	(16, 1) 
refers	(24, 1) (15, 1) 
refinery	(22, 1) 
reflect	(29, 1) 
region	(16, 1) 
regions	(20, 2) (25, 2) 
regulating	(20, 1) 
regulation	(29, 1) 
reintroduction	(16, 1) 
rekusasu	(25, 1) 
relationship	(29, 1) 
relaunched	(16, 1) 
relaunching	(11, 1) 
release	(14, 1) 
released	(14, 1) (25, 1) (10, 1) 
reliability	(26, 1) 
relief	(29, 1) 
remained	(29, 2) (28, 1) 
remaining	(12, 1) 
remains	(29, 1) 
renamed	(29, 3) (22, 1) (30, 1) 
renault	(2, 3) 
renaultu2013nissanu2013mitsubishi	(2, 1) 
reorganization	(29, 1) (25, 1) 
repaying	(29, 1) 
replacement	(28, 1) 
reported	(3, 1) 
represent	(11, 1) 
represented	(16, 1) 
representing	(22, 1) 
republic	(3, 1) 
research	(14, 2) 
respectively	(25, 1) 
rest	(1, 1) (29, 1) 
restructured	(22, 1) 
result	(29, 1) 
resulted	(29, 1) 
retail	(22, 1) 
retired	(16, 1) 
retiree	(29, 1) 
returned	(16, 1) 
returning	(29, 1) 
revenue	(12, 1) (3, 1) (2, 1) (23, 1) 
revenues	(14, 1) 
reverse	(16, 1) 
reversed	(16, 1) 
revived	(10, 1) (17, 1) 
reviving	(30, 1) 
revuelto	(8, 1) 
rights	(28, 1) 
rings	(11, 1) 
rise	(3, 1) 
rivals	(25, 1) 
riverford	(15, 1) 
road	(7, 1) 
roadsters	(28, 1) 
robot	(14, 1) 
role	(20, 1) 
roles	(28, 1) 
rolls	(6, 1) 
rolls-royce	(6, 7) (12, 1) 
romeo	(29, 1) 
roof	(26, 1) 
rooted	(16, 1) 
rosettes	(20, 1) 
rotary-powered	(1, 1) 
rotem	(22, 1) 
rough	(28, 1) 
rough-road	(19, 1) 
rover	(28, 1) 
royal	(26, 1) 
royale	(10, 1) 
royce	(6, 1) 
running	(23, 1) 
runs	(28, 1) 
russia	(16, 1) (2, 1) 
rx	(25, 2) 
safety	(29, 1) 
sakichi	(3, 1) 
sale	(23, 1) (30, 1) 
sales	(30, 1) (1, 1) (3, 1) (16, 1) (21, 1) (17, 2) (25, 1) (8, 2) (2, 1) (5, 3) 
same	(30, 1) (2, 1) (25, 1) 
samho	(22, 1) 
santagata	(8, 1) 
saved	(29, 1) (12, 1) 
saw	(8, 2) 
saxony	(17, 1) 
says	(19, 1) 
scuderia	(7, 3) 
se	(18, 1) 
second	(21, 1) (16, 1) (30, 1) 
second-largest	(23, 1) (14, 1) 
sectors	(23, 1) 
sedan	(25, 3) 
sedans	(18, 1) 
see	(18, 1) 
segment	(28, 2) 
sell	(28, 1) (3, 1) 
selling	(28, 1) (29, 1) (16, 2) 
sells	(16, 1) (3, 1) (29, 1) (2, 1) 
seoul	(21, 1) 
separate	(28, 1) (8, 1) 
separated	(30, 1) 
separation	(6, 1) 
september	(3, 1) 
serbian-american	(24, 1) 
series	(11, 1) (6, 1) (28, 2) (7, 1) 
serves	(17, 1) 
services	(23, 1) 
serving	(28, 1) 
set	(3, 1) 
setdco	(8, 2) 
setting	(26, 1) 
seven	(19, 1) 
